Sample Number,Habit,Species Name,First_Value,Second_Value,Notes
102,Herbs,UNK Grass,14,8,
102,Herbs,Valeriana sitchensis,10,7,
102,Herbs,Vancouveria hexandra,26,8,
102,Herbs,Viola glabella,2,1,
102,Shrubs,Abies concolor,1,1,
102,Shrubs,Ribes marshallii,16,7,
102,Shrubs,Rubus parviflorus,1,1,
103,Herbs,Achlys triphylla,95,10,
103,Herbs,Actaea rubra,23,12,
103,Herbs,Anemone deltoidea,23,9,
103,Herbs,Arnica latifolia,2,2,
103,Herbs,Asarum hartwegii,5,3,
103,Herbs,Campanula sp.,32,2,
103,Herbs,Clintonia uniflora,0.001,0,
103,Herbs,Fragaria vesca,7,4,
103,Herbs,Galium triflorum,2,2,
103,Herbs,Hieracium albiflorum,14,2,
103,Herbs,Hydrophyllum occidentale,12,4,
103,Herbs,Moehringia macrophylla,17,4,
103,Herbs,Osmorhiza berteroi,7,4,
103,Herbs,Phlox adsurgens,14,5,
103,Herbs,Smilacina stellata,35,13,
103,Herbs,Trientalis latifolia,9,3,
103,Herbs,Trillium ovatum,19,9,
103,Herbs,UNK #1,5,2,
103,Herbs,Valeriana sitchensis,17,9,
103,Herbs,Viola glabella,9,6,
103,Herbs,Viola sempervirens,5,3,
103,Shrubs,Ribes marshallii,12,8,
103,Shrubs,Rosa gymnocarpa,7,3,
105,Herbs,Angelica arguta,1,1,
105,Herbs,Balsamorhiza deltoidea,27,6,
105,Herbs,Eriogonum nudum,0.001,0,
105,Herbs,Galium ambiguum,16,4,
105,Herbs,Hieracium scouleri,5,2,
105,Herbs,Iris bracteata,6,3,
105,Herbs,Lilium bolanderi,0.001,0,
105,Herbs,Lomatium howellii,18,6,
105,Herbs,Lomatium triternatum,1,1,
105,Herbs,Phlox speciosa,5,3,
105,Herbs,Poa piperi,0.001,0,
105,Herbs,Poa rhizomata,30,0,
105,Herbs,Polygala californica,8,4,
105,Herbs,Sanicula peckiana,1,1,
105,Herbs,Sedum laxum,3,1,
105,Herbs,Trientalis latifolia,16,6,
105,Herbs,UNK #3,3,0,
105,Herbs,UNK Grass,10,0,
105,Herbs,UNK Grasses,40,16,
105,Herbs,Xerophyllum tenax,1,1,
105,Shrubs,Arctostaphylos nevadensis,47,10,
105,Shrubs,Arctostaphylos viscida,2,2,
105,Shrubs,Calocedrus decurrens,1,1,
105,Shrubs,Calystegia occidentalis,1,1,
105,Shrubs,Pseudotsuga menziesii var. menziesii,2,2,
105,Shrubs,Quercus vaccinifolia,17,12,
105,Shrubs,Rhamnus californica ssp. occidentalis,20,13,
105,Shrubs,Rhododendron occidentale,2,2,
105,Shrubs,Umbellularia californica,3,3,
106,Herbs,Arnica cernua,10,5,
106,Herbs,Chimaphila umbellata,3,2,
106,Herbs,Eucephalus brickellioides,16,9,
106,Herbs,Galium ambiguum,49,7,
106,Herbs,Iris bracteata,5,3,
106,Herbs,Lilium bolanderi,0.001,0,
106,Herbs,Linnaea borealis var. longiflora,29,5,
106,Herbs,Lomatium triternatum,0.001,0,
106,Herbs,Lupinus latifolius var. columbianus,8,7,
106,Herbs,Poa piperi,0.001,0,
106,Herbs,Pteridium aquilinum var. pubescens,16,9,
106,Herbs,Pyrola picta,4,2,
106,Herbs,Sanicula peckiana,46,12,
106,Herbs,Smilacina racemosa,2,1,
106,Herbs,Tauschia glauca,20,8,
106,Herbs,Trientalis latifolia,3,2,
106,Herbs,Veratrum insolitum,0.001,0,
106,Herbs,Viola lobata,6,3,
106,Herbs,Xerophyllum tenax,1,1,
106,Shrubs,Amelanchier utahensis,2,2,
106,Shrubs,Arctostaphylos nevadensis,32,2,
106,Shrubs,Arctostaphylos viscida,16,8,
106,Shrubs,Gaultheria shallon,136,25,
106,Shrubs,Juniperus communis,12,4,
106,Shrubs,Lithocarpus densiflorus var. echinoides,35,17,
106,Shrubs,Pinus lambertiana,2,2,
106,Shrubs,Pseudotsuga menziesii var. menziesii,12,8,
106,Shrubs,Quercus vaccinifolia,2,1,
106,Shrubs,Rhamnus californica ssp. occidentalis,1,1,
106,Shrubs,Vaccinium parvifolium,1,1,
107,Herbs,Achlys triphylla,11,3,
107,Herbs,Apocynum androsaemifolium,3,3,
107,Herbs,Chimaphila menziesii,1,1,
107,Herbs,Chimaphila umbellata,78,19,
107,Herbs,Fragaria vesca,1,1,
107,Herbs,Galium triflorum,2,2,
107,Herbs,Goodyera oblongifolia,4,2,
107,Herbs,Hieracium albiflorum,1,1,
107,Herbs,Linnaea borealis var. longiflora,51,18,
107,Herbs,Lonicera hispidula var. vacillans,4,3,
107,Herbs,Packera bolanderi,27,12,
107,Herbs,Phlox adsurgens,3,3,
107,Herbs,Prosartes hookeri,2,1,
107,Herbs,Pteridium aquilinum var. pubescens,1,1,
107,Herbs,Pyrola picta,2,2,
107,Herbs,Smilacina sp.,3,3,
107,Herbs,Trientalis latifolia,3,3,
107,Herbs,Trillium ovatum,2,2,
107,Herbs,Viola sempervirens,20,7,
107,Herbs,Whipplea modesta,16,8,
107,Shrubs,Acer circinatum,1,1,
107,Shrubs,Berberis nervosa,2,1,
107,Shrubs,Chrysolepis chrysophylla var. chrysophylla,4,4,
107,Shrubs,Holodiscus discolor,2,1,
107,Shrubs,Lithocarpus densiflorus,16,10,
107,Shrubs,Pseudotsuga menziesii var. menziesii,5,4,
107,Shrubs,Rosa gymnocarpa,12,7,
107,Shrubs,Toxicodendron diversilobum,19,6,
108,Herbs,Achlys triphylla,4,3,
108,Herbs,Adenocaulon bicolor,1,1,
108,Herbs,Anemone deltoidea,13,2,
108,Herbs,Apocynum androsaemifolium,2,2,
108,Herbs,Aralia californica,3,3,
108,Herbs,Asarum caudatum,5,1,
108,Herbs,Galium triflorum,2,2,
108,Herbs,Goodyera oblongifolia,4,3,
108,Herbs,Hieracium albiflorum,1,1,
108,Herbs,Linnaea borealis var. longiflora,23,9,
108,Herbs,Packera bolanderi,7,4,
108,Herbs,Polystichum munitum,19,15,
108,Herbs,Prosartes hookeri,2,1,
108,Herbs,Satureja douglasii,7,2,
108,Herbs,Smilacina sp.,44,8,
108,Herbs,Tiarella trifoliata ssp. unifoliata,0.001,0,
108,Herbs,Trientalis latifolia,2,1,
108,Herbs,Trillium ovatum,17,5,
108,Herbs,UNK Grasses,11,5,
108,Herbs,Vancouveria hexandra,1,1,
108,Herbs,Viola sempervirens,1,0,
108,Shrubs,Acer circinatum,7,4,
108,Shrubs,Berberis nervosa,2,2,
108,Shrubs,Chrysolepis chrysophylla var. chrysophylla,1,1,
108,Shrubs,Holodiscus discolor,0.001,0,
108,Shrubs,Lithocarpus densiflorus,13,12,
108,Shrubs,Ribes marshallii,24,12,
108,Shrubs,Ribes viscosissimum,4,3,
108,Shrubs,Rosa gymnocarpa,2,1,
108,Shrubs,Vaccinium parvifolium,2,1,
109,Herbs,Achlys triphylla,4,2,
109,Herbs,Asarum hartwegii,1,1,
109,Herbs,Chimaphila umbellata,38,14,
109,Herbs,Linnaea borealis var. longiflora,16,6,
109,Herbs,Lonicera hispidula var. vacillans,3,2,
109,Herbs,Phlox adsurgens,5,4,
109,Herbs,Prosartes hookeri,7,5,
109,Herbs,Pteridium aquilinum var. pubescens,3,3,
109,Herbs,Smilacina sp.,2,1,
109,Herbs,Symphoricarpos sp.,16,11,
109,Herbs,Trientalis latifolia,3,3,
109,Herbs,Trillium ovatum,3,3,
109,Herbs,Viola sempervirens,3,1,
109,Herbs,Whipplea modesta,25,9,
109,Shrubs,Berberis nervosa,3,2,
109,Shrubs,Chrysolepis chrysophylla var. chrysophylla,6,5,
109,Shrubs,Corylus cornuta,1,1,
109,Shrubs,Lithocarpus densiflorus,9,8,
109,Shrubs,Rosa gymnocarpa,21,11,
109,Shrubs,Toxicodendron diversilobum,4,1,
110,Herbs,Achlys triphylla,4,2,
110,Herbs,Apocynum androsaemifolium,24,6,
110,Herbs,Asarum hartwegii,3,2,
110,Herbs,Campanula prenanthoides,4,2,
110,Herbs,Chimaphila umbellata,56,11,
110,Herbs,Goodyera oblongifolia,1,1,
110,Herbs,Linnaea borealis var. longiflora,12,4,
110,Herbs,Prosartes hookeri,3,1,
110,Herbs,Pteridium aquilinum var. pubescens,1,1,
110,Herbs,Trientalis latifolia,8,5,
110,Herbs,Viola sempervirens,2,1,
110,Herbs,Whipplea modesta,32,11,
110,Shrubs,Chrysolepis chrysophylla var. chrysophylla,1,1,
110,Shrubs,Cornus sp.,1,1,
110,Shrubs,Lithocarpus densiflorus,16,12,
110,Shrubs,Rosa gymnocarpa,5,4,
110,Shrubs,Toxicodendron diversilobum,24,7,
111,Herbs,Achlys triphylla,2,2,
111,Herbs,Apocynum androsaemifolium,14,8,
111,Herbs,Asarum hartwegii,3,2,
111,Herbs,Campanula scouleri,3,2,
111,Herbs,Chimaphila umbellata,15,4,
111,Herbs,Goodyera oblongifolia,2,1,
111,Herbs,Linnaea borealis var. longiflora,2,1,
111,Herbs,Lonicera hispidula var. vacillans,13,6,
111,Herbs,Prosartes hookeri,1,1,
111,Herbs,Smilacina racemosa,2,1,
111,Herbs,Trientalis latifolia,2,1,
111,Herbs,Whipplea modesta,14,5,
111,Shrubs,Berberis nervosa,6,4,
111,Shrubs,Lithocarpus densiflorus,15,10,
111,Shrubs,Pseudotsuga menziesii var. menziesii,4,4,
111,Shrubs,Quercus chrysolepis,1,1,
111,Shrubs,Rosa gymnocarpa,41,15,
111,Shrubs,Toxicodendron diversilobum,30,10,
113,Herbs,Achlys triphylla,4,2,
113,Herbs,Anemone deltoidea,2,2,
113,Herbs,Apocynum androsaemifolium,1,1,
113,Herbs,Asarum hartwegii,0.001,0,
113,Herbs,Campanula scouleri,6,1,
113,Herbs,Chimaphila umbellata,1,1,
113,Herbs,Collomia heterophylla,1,1,
113,Herbs,Galium triflorum,1,1,
113,Herbs,Hieracium albiflorum,15,8,
113,Herbs,Iris chrysophylla,6,3,
113,Herbs,Linnaea borealis var. longiflora,18,5,
113,Herbs,Lonicera hispidula var. vacillans,9,4,
113,Herbs,Moehringia macrophylla,3,2,
113,Herbs,Packera bolanderi,100,22,
113,Herbs,Phlox adsurgens,17,7,
113,Herbs,Polystichum munitum,8,7,
113,Herbs,Prosartes hookeri,1,1,
113,Herbs,Smilacina sp.,2,1,
113,Herbs,Trientalis latifolia,32,11,
113,Herbs,Trillium ovatum,1,1,
113,Herbs,UNK Grasses,19,8,
113,Herbs,Whipplea modesta,30,7,
113,Shrubs,Acer circinatum,3,3,
113,Shrubs,Berberis nervosa,24,8,
113,Shrubs,Corylus cornuta,4,2,
113,Shrubs,Lithocarpus densiflorus,3,2,
113,Shrubs,Paxistima myrsinites,2,1,
113,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
113,Shrubs,Quercus chrysolepis,2,2,
113,Shrubs,Rosa gymnocarpa,8,4,
114,Herbs,Apocynum androsaemifolium,111,21,
114,Herbs,Campanula sp.,126,8,
114,Herbs,Chimaphila menziesii,3,2,
114,Herbs,Festuca occidentalis,0.001,0,
114,Herbs,Fragaria vesca,29,12,
114,Herbs,Goodyera oblongifolia,1,1,
114,Herbs,Hieracium albiflorum,13,6,
114,Herbs,Iris chrysophylla,2,2,
114,Herbs,Lathyrus polyphyllus,1,1,
114,Herbs,Lotus crassifolius,1,1,
114,Herbs,Melica subulata,0.001,0,
114,Herbs,Moehringia macrophylla,53,9,
114,Herbs,Orthilia secunda,1,1,
114,Herbs,Osmorhiza berteroi,3,2,
114,Herbs,Phlox adsurgens,42,10,
114,Herbs,Prosartes hookeri,1,1,
114,Herbs,Smilacina stellata,1,1,
114,Herbs,Trientalis latifolia,33,4,
114,Herbs,UNK Grass,2,2,
114,Herbs,Vancouveria hexandra,4,2,
114,Herbs,Vicia americana,21,7,
114,Shrubs,Corylus cornuta,1,1,
114,Shrubs,Holodiscus discolor,4,2,
114,Shrubs,Rosa gymnocarpa,3,2,
114,Shrubs,Rubus ursinus,1,1,
115,Herbs,Apocynum androsaemifolium,16,4,
115,Herbs,Asarum hartwegii,2,2,
115,Herbs,Campanula prenanthoides,27,4,
115,Herbs,Chimaphila menziesii,2,1,
115,Herbs,Chimaphila umbellata,5,3,
115,Herbs,Corallorhiza sp.,0.001,0,
115,Herbs,Fragaria vesca,40,11,
115,Herbs,Hieracium albiflorum,13,5,
115,Herbs,Iris chrysophylla,8,4,
115,Herbs,Lathyrus polyphyllus,1,1,
115,Herbs,Lotus crassifolius,23,3,
115,Herbs,Moehringia macrophylla,15,2,
115,Herbs,Phlox adsurgens,27,12,
115,Herbs,Trientalis latifolia,49,10,
115,Herbs,UNK Grass,2,2,
115,Herbs,Vicia americana,9,6,
115,Shrubs,Abies concolor,1,1,
115,Shrubs,Berberis nervosa,17,5,
115,Shrubs,Holodiscus discolor,6,4,
115,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
115,Shrubs,Rosa gymnocarpa,14,8,
115,Shrubs,Rubus parviflorus,1,1,
116,Herbs,Achlys triphylla,46,8,
116,Herbs,Actaea rubra,2,2,
116,Herbs,Adenocaulon bicolor,31,8,
116,Herbs,Anemone deltoidea,1,1,
116,Herbs,Apocynum androsaemifolium,10,5,
116,Herbs,Campanula sp.,126,12,
116,Herbs,Clintonia uniflora,4,2,
116,Herbs,Fragaria vesca,18,8,
116,Herbs,Galium triflorum,10,4,
116,Herbs,Goodyera oblongifolia,1,1,
116,Herbs,Hieracium albiflorum,5,2,
116,Herbs,Iris chrysophylla,2,2,
116,Herbs,Lathyrus polyphyllus,6,4,
116,Herbs,Listera caurina,1,1,
116,Herbs,Mitella diversifolia,2,1,
116,Herbs,Moehringia macrophylla,14,4,
116,Herbs,Osmorhiza berteroi,14,11,
116,Herbs,Phlox adsurgens,28,10,
116,Herbs,Prosartes hookeri,23,10,
116,Herbs,Smilacina stellata,28,9,
116,Herbs,Trientalis latifolia,125,14,
116,Herbs,Trillium ovatum,2,2,
116,Herbs,UNK Grass,8,3,
116,Herbs,Vancouveria hexandra,29,9,
116,Herbs,Vicia americana,4,3,
116,Herbs,Viola glabella,9,6,
116,Shrubs,Holodiscus discolor,1,1,
116,Shrubs,Rosa gymnocarpa,7,3,
117,Herbs,Achlys triphylla,79,11,
117,Herbs,Adenocaulon bicolor,47,11,
117,Herbs,Apocynum androsaemifolium,10,7,
117,Herbs,Campanula scouleri,171,15,
117,Herbs,Clintonia uniflora,4,3,
117,Herbs,Corallorhiza mertensiana,0.001,0,
117,Herbs,Fragaria vesca,13,6,
117,Herbs,Galium triflorum,1,1,
117,Herbs,Goodyera oblongifolia,1,1,
117,Herbs,Hieracium albiflorum,9,6,
117,Herbs,Iris chrysophylla,19,4,
117,Herbs,Lathyrus polyphyllus,20,9,
117,Herbs,Moehringia macrophylla,24,6,
117,Herbs,Osmorhiza berteroi,7,5,
117,Herbs,Phlox adsurgens,53,18,
117,Herbs,Piperia transversa,0.001,0,Whittaker had Piperia unalascensis but changed to Piperia transversa because Fred thought that this was the species he saw
117,Herbs,Prosartes hookeri,8,6,
117,Herbs,Trientalis latifolia,37,4,
117,Herbs,UNK Grass,8,4,
117,Herbs,Vancouveria hexandra,36,8,
117,Herbs,Vicia americana,61,10,
117,Herbs,Viola glabella,3,2,
117,Shrubs,Calocedrus decurrens,3,2,
117,Shrubs,Holodiscus discolor,2,2,
117,Shrubs,Ribes lobbii,3,3,
117,Shrubs,Rosa gymnocarpa,11,6,
118,Herbs,Achlys triphylla,99,14,
118,Herbs,Actaea rubra,1,1,
118,Herbs,Anemone deltoidea,67,13,
118,Herbs,Apocynum androsaemifolium,6,4,
118,Herbs,Arnica latifolia,110,15,
118,Herbs,Campanula sp.,61,8,
118,Herbs,Chimaphila umbellata,4,4,
118,Herbs,Clintonia uniflora,70,14,
118,Herbs,Corallorhiza mertensiana,1,1,
118,Herbs,Fragaria vesca,11,5,
118,Herbs,Galium triflorum,2,2,
118,Herbs,Goodyera oblongifolia,4,3,
118,Herbs,Hieracium albiflorum,13,8,
118,Herbs,Listera caurina,1,1,
118,Herbs,Moehringia macrophylla,58,6,
118,Herbs,Orthilia secunda,5,2,
118,Herbs,Osmorhiza berteroi,8,6,
118,Herbs,Pedicularis racemosa,10,3,
118,Herbs,Phlox adsurgens,40,12,
118,Herbs,Prosartes hookeri,11,5,
118,Herbs,Smilacina stellata,26,6,
118,Herbs,Tiarella trifoliata ssp. unifoliata,24,4,
118,Herbs,Trientalis latifolia,7,4,
118,Herbs,Trillium ovatum,8,6,
118,Herbs,UNK Grass,9,7,
118,Herbs,Valeriana sitchensis,14,9,
118,Herbs,Vancouveria hexandra,96,12,
118,Herbs,Viola glabella,7,7,
118,Shrubs,Abies concolor,7,5,
118,Shrubs,Abies magnifica,1,1,
118,Shrubs,Ribes marshallii,11,9,
118,Shrubs,Rosa gymnocarpa,19,9,
118,Shrubs,Toxicodendron diversilobum,3,0,
118,Shrubs,Vaccinium membranaceum,2,1,
119,Herbs,Achlys triphylla,69,7,
119,Herbs,Adenocaulon bicolor,8,5,
119,Herbs,Anemone deltoidea,11,2,
119,Herbs,Apocynum androsaemifolium,2,1,
119,Herbs,Arnica latifolia,125,19,
119,Herbs,Campanula sp.,24,4,
119,Herbs,Chimaphila umbellata,17,7,
119,Herbs,Clintonia uniflora,8,3,
119,Herbs,Fragaria vesca,10,6,
119,Herbs,Goodyera oblongifolia,1,1,
119,Herbs,Hieracium albiflorum,20,9,
119,Herbs,Lathyrus polyphyllus,5,1,
119,Herbs,Listera caurina,8,2,
119,Herbs,Melica subulata,0.001,0,
119,Herbs,Moehringia macrophylla,70,9,
119,Herbs,Orthilia secunda,33,8,
119,Herbs,Osmorhiza berteroi,10,9,
119,Herbs,Pedicularis racemosa,4,3,
119,Herbs,Phlox adsurgens,65,15,
119,Herbs,Prosartes hookeri,51,12,
119,Herbs,UNK Grass,6,3,
119,Herbs,Valeriana sitchensis,1,1,
119,Herbs,Vancouveria hexandra,11,3,
119,Herbs,Viola glabella,1,1,
119,Shrubs,Abies concolor,7,6,
119,Shrubs,Rosa gymnocarpa,8,5,
120,Herbs,Achlys triphylla,131,10,
120,Herbs,Adenocaulon bicolor,19,6,
120,Herbs,Anemone deltoidea,17,5,
120,Herbs,Apocynum androsaemifolium,6,4,
120,Herbs,Arnica latifolia,63,9,
120,Herbs,Asarum hartwegii,1,1,
120,Herbs,Campanula sp.,125,11,
120,Herbs,Chimaphila menziesii,1,1,
120,Herbs,Clintonia uniflora,26,9,
120,Herbs,Fragaria vesca,5,2,
120,Herbs,Galium triflorum,5,2,
120,Herbs,Goodyera oblongifolia,3,1,
120,Herbs,Hieracium albiflorum,30,8,
120,Herbs,Lathyrus polyphyllus,18,7,
120,Herbs,Moehringia macrophylla,46,8,
120,Herbs,Orthilia secunda,24,6,
120,Herbs,Osmorhiza berteroi,7,5,
120,Herbs,Phlox adsurgens,86,18,
120,Herbs,Prosartes hookeri,15,7,
120,Herbs,Pyrola picta,1,1,
120,Herbs,Smilacina stellata,1,1,
120,Herbs,Trientalis latifolia,20,1,
120,Herbs,Trillium ovatum,2,2,
120,Herbs,Vancouveria hexandra,7,4,
120,Herbs,Viola glabella,2,1,
120,Shrubs,Abies concolor,5,3,
120,Shrubs,Abies magnifica,4,4,
120,Shrubs,Calocedrus decurrens,1,1,
120,Shrubs,Rosa gymnocarpa,10,5,
120,Shrubs,Rubus parviflorus,1,1,
122,Herbs,Achlys triphylla,161,17,
122,Herbs,Actaea rubra,2,2,
122,Herbs,Agastache urticifolia,1,1,
122,Herbs,Anemone deltoidea,8,3,
122,Herbs,Apocynum androsaemifolium,1,1,
122,Herbs,Arnica latifolia,94,16,
122,Herbs,Campanula sp.,152,13,
122,Herbs,Claytonia caroliniana var. lewisii,13,4,
122,Herbs,Clintonia uniflora,7,2,
122,Herbs,Fragaria vesca,8,4,
122,Herbs,Galium triflorum,2,1,
122,Herbs,Hieracium albiflorum,5,5,
122,Herbs,Hydrophyllum occidentale,4,4,
122,Herbs,Ligusticum grayi,0.001,0,
122,Herbs,Moehringia macrophylla,193,18,
122,Herbs,Nemophila parviflora,3,1,
122,Herbs,Orthilia secunda,1,1,
122,Herbs,Osmorhiza berteroi,4,4,
122,Herbs,Phlox adsurgens,42,15,
122,Herbs,Prosartes hookeri,7,3,
122,Herbs,Pyrola picta,9,2,
122,Herbs,Senecio triangularis,0.001,0,
122,Herbs,Smilacina stellata,9,2,
122,Herbs,Trientalis latifolia,29,5,
122,Herbs,Trillium ovatum,3,2,
122,Herbs,UNK #1,3,1,
122,Herbs,UNK Grass,42,12,
122,Herbs,Valeriana sitchensis,9,6,
122,Herbs,Vancouveria hexandra,151,14,
122,Herbs,Viola glabella,8,6,
122,Shrubs,Abies concolor,3,3,
122,Shrubs,Ribes marshallii,8,5,
122,Shrubs,Rosa gymnocarpa,1,1,
123,Herbs,Achlys triphylla,253,19,
123,Herbs,Actaea rubra,3,3,
123,Herbs,Anemone deltoidea,3,2,
123,Herbs,Arnica latifolia,108,15,
123,Herbs,Campanula sp.,38,4,
123,Herbs,Claytonia caroliniana var. lewisii,74,11,
123,Herbs,Clintonia uniflora,7,2,
123,Herbs,Fragaria vesca,2,2,
123,Herbs,Galium triflorum,6,3,
123,Herbs,Hieracium albiflorum,3,2,
123,Herbs,Hydrophyllum occidentale,23,11,
123,Herbs,Mertensia bella,20,5,
123,Herbs,Mitella breweri,17,4,
123,Herbs,Moehringia macrophylla,34,5,
123,Herbs,Monardella odoratissima,6,3,
123,Herbs,Nemophila parviflora,6,2,
123,Herbs,Osmorhiza berteroi,17,10,
123,Herbs,Phlox adsurgens,1,1,
123,Herbs,Senecio triangularis,9,4,
123,Herbs,Smilacina stellata,1,1,
123,Herbs,Tiarella trifoliata ssp. unifoliata,19,4,
123,Herbs,Trientalis latifolia,13,2,
123,Herbs,UNK #1,26,13,
123,Herbs,UNK Grass,8,6,
123,Herbs,Valeriana sitchensis,59,23,
123,Herbs,Vancouveria hexandra,67,10,
123,Herbs,Veratrum sp.,1,1,
123,Herbs,Viola glabella,10,8,
123,Shrubs,Abies concolor,2,2,
123,Shrubs,Ribes marshallii,32,17,
124,Herbs,Achlys triphylla,211,15,
124,Herbs,Actaea rubra,19,10,
124,Herbs,Anemone deltoidea,73,11,
124,Herbs,Arnica latifolia,143,13,
124,Herbs,Asarum hartwegii,2,2,
124,Herbs,Campanula sp.,189,16,
124,Herbs,Claytonia caroliniana var. lewisii,25,7,
124,Herbs,Epilobium hornemannii ssp. hornemannii,0.001,0,
124,Herbs,Eucephalus brickellioides,3,1,
124,Herbs,Fragaria vesca,3,2,
124,Herbs,Galium triflorum,10,5,
124,Herbs,Hieracium albiflorum,13,7,
124,Herbs,Hydrophyllum occidentale,12,8,
124,Herbs,Lonicera conjugialis,0.001,0,
124,Herbs,Mertensia bella,1,1,
124,Herbs,Mitella diversifolia,1,1,
124,Herbs,Moehringia macrophylla,36,6,
124,Herbs,Nemophila parviflora,36,3,
124,Herbs,Orthilia secunda,2,1,
124,Herbs,Osmorhiza berteroi,18,8,
124,Herbs,Pedicularis racemosa,3,2,
124,Herbs,Phacelia corymbosa,3,2,
124,Herbs,Phlox adsurgens,34,10,
124,Herbs,Polygonum phytolaccifolium,1,1,
124,Herbs,Prosartes hookeri,1,0,
124,Herbs,Smilacina stellata,43,8,
124,Herbs,Trientalis latifolia,26,8,
124,Herbs,Trillium ovatum,5,4,
124,Herbs,UNK Grass,79,22,
124,Herbs,Valeriana sitchensis,21,10,
124,Herbs,Vancouveria hexandra,16,5,
124,Herbs,Viola glabella,4,4,
124,Shrubs,Holodiscus discolor,1,1,
124,Shrubs,Ribes marshallii,42,14,
124,Shrubs,Ribes viscosissimum,3,2,
124,Shrubs,Rosa gymnocarpa,5,2,
124,Shrubs,Rubus parviflorus,1,1,
125,Herbs,Achlys triphylla,220,22,
125,Herbs,Actaea rubra,34,12,
125,Herbs,Adenocaulon bicolor,1,1,
125,Herbs,Anemone deltoidea,52,8,
125,Herbs,Arnica latifolia,261,20,
125,Herbs,Campanula sp.,53,6,
125,Herbs,Claytonia caroliniana var. lewisii,6,2,
125,Herbs,Clintonia uniflora,11,4,
125,Herbs,Corallorhiza maculata,0.001,0,
125,Herbs,Fragaria vesca,1,1,
125,Herbs,Galium triflorum,11,5,
125,Herbs,Hydrophyllum occidentale,36,15,
125,Herbs,Luzula spicata,1,1,
125,Herbs,Mertensia bella,4,2,
125,Herbs,Moehringia macrophylla,6,2,
125,Herbs,Osmorhiza berteroi,55,15,
125,Herbs,Phacelia corymbosa,1,1,
125,Herbs,Phlox adsurgens,12,5,
125,Herbs,Pteridium aquilinum var. pubescens,28,11,
125,Herbs,Senecio triangularis,18,7,
125,Herbs,Smilacina stellata,43,7,
125,Herbs,Tiarella trifoliata ssp. unifoliata,77,10,
125,Herbs,Trientalis latifolia,1,1,
125,Herbs,Trillium ovatum,2,2,
125,Herbs,UNK Grass,31,10,
125,Herbs,Valeriana sitchensis,38,12,
125,Herbs,Vancouveria hexandra,11,5,
125,Herbs,Viola glabella,20,13,
125,Shrubs,Abies magnifica,1,1,
125,Shrubs,Ribes marshallii,7,5,
126,Herbs,Achlys triphylla,120,12,
126,Herbs,Actaea rubra,5,3,
126,Herbs,Anemone deltoidea,65,13,
126,Herbs,Arnica latifolia,337,25,
126,Herbs,Campanula sp.,66,9,
126,Herbs,Chimaphila umbellata,13,3,
126,Herbs,Clintonia uniflora,30,6,
126,Herbs,Fragaria vesca,11,6,
126,Herbs,Galium triflorum,4,3,
126,Herbs,Hieracium albiflorum,26,10,
126,Herbs,Hydrophyllum occidentale,1,1,
126,Herbs,Listera caurina,2,1,
126,Herbs,Moehringia macrophylla,111,10,
126,Herbs,Orthilia secunda,6,1,
126,Herbs,Osmorhiza berteroi,15,10,
126,Herbs,Phlox adsurgens,75,18,
126,Herbs,Smilacina stellata,30,10,
126,Herbs,Tiarella trifoliata ssp. unifoliata,2,1,
126,Herbs,Trientalis latifolia,49,8,
126,Herbs,Trillium ovatum,2,2,
126,Herbs,UNK Grass,51,15,
126,Herbs,Valeriana sitchensis,40,11,
126,Herbs,Vancouveria hexandra,57,9,
126,Herbs,Viola glabella,4,2,
126,Shrubs,Abies concolor,5,3,
126,Shrubs,Quercus sadleriana,5,3,
126,Shrubs,Ribes marshallii,6,3,
127,Herbs,Arnica latifolia,488,25,
127,Herbs,Campanula sp.,38,8,
127,Herbs,Chimaphila menziesii,4,4,
127,Herbs,Chimaphila umbellata,4,2,
127,Herbs,Clintonia uniflora,4,1,
127,Herbs,Corallorhiza mertensiana,8,1,
127,Herbs,Eucephalus brickellioides,10,5,
127,Herbs,Fragaria vesca,46,17,
127,Herbs,Hieracium albiflorum,9,5,
127,Herbs,Mitella diversifolia,1,1,
127,Herbs,Moehringia macrophylla,37,8,
127,Herbs,Nothochelone nemorosa,25,13,
127,Herbs,Orthilia secunda,89,12,
127,Herbs,Osmorhiza berteroi,2,2,
127,Herbs,Pedicularis racemosa,21,6,
127,Herbs,Phlox adsurgens,13,5,
127,Herbs,Piperia transversa,3,1,Whittaker had Habenaria sp. But name changed to Piperia and transversa is the common spp.
127,Herbs,Pyrola picta,2,2,
127,Herbs,Smilacina sp.,9,2,
127,Herbs,Trillium ovatum,1,1,
127,Herbs,UNK Grass,5,3,
127,Herbs,Valeriana sitchensis,31,13,
127,Shrubs,Abies concolor,2,2,
127,Shrubs,Abies magnifica,4,4,
127,Shrubs,Quercus sadleriana,8,5,
127,Shrubs,Ribes marshallii,1,1,
127,Shrubs,Vaccinium membranaceum,2,1,
128,Herbs,Apocynum androsaemifolium,1,1,
128,Herbs,Aquilegia formosa,0.001,0,
128,Herbs,Arnica latifolia,363,23,
128,Herbs,Brassica sp.,2,1,
128,Herbs,Bromus sp.,0.001,0,
128,Herbs,Campanula sp.,156,12,
